Tool ID	Tool ID	Tool ID	Tool ID	Tool ID		Software	Software	Software	Software	Software	Software	Software	Data support	Data support	Data support	Diversity features	Diversity features	Annotation	Annotation	Annotation	Annotation	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	Tool ID	Tool ID
GitDox	https://software.sil.org/wp/wp-content/themes/web-productsites/images/sil_logo_glyph.png	A version controlled annotation interace for XML and spreadsheet data, as well as nested NER	https://gucorpling.org/gitdox/		Yes	Apache-2.0	https://github.com/gucorpling/gitdox	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	Raw text, XML, Corpus Workbench vertical format		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U)	Yes	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data., Yes, the tool supports multiple annotators working together on the same shared annotation of the data.	Yes	Yes	Yes	No	No	No	Lemmas,UPOS,FEATS,XPOS,Metadata	No	concurrent/conflicting span annotations, nested NER, entity linking.	Nested expressions,Overlapping expressions	No	https://gucorpling.org/gum/, https://data.copticscriptorium.org/	There's a demo of the coref interface here: https://gucorpling.org/gitdox/spannotator.html
INCEpTION	https://inception-project.github.io/assets/img/logo.png	Text Annotation Platform	https://inception-project.github.io		Yes	Apache-2.0	https://github.com/inception-project/inception	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server), some public instances available	No	Raw text, PDF, CONLL-U, XML, TSV	Audio, Video, Image, PDF, External databases (e.g. dictionaries)	The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Image (e.g. a graph or coloured text)	partial	partial	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	Yes	Yes	partial	Yes	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies	No	relation between spans, chains, document-level	Nested expressions,Overlapping expressions	partial	  You can find many more by searching for INCEpTION on Google Scholar although note that not all papers that cite INCEpTION actually used it. E.g. they may also refer to it as related work (e.g. papers of other annotation editor tools) or have eventually chosen another tool to use. 	INCEpTION caters to a wide range of individual users who find different aspects of the tool useful. I would say that probably the ability to link to knowledge bases, the ability to work on sensitive data, the ability to use ML/AI to support the annotation process, the multi-user capabilities, curation support, agreement calculation support, and the range of supported data formats are among the most attractive features.  INCEpTION also caters to institutional users who need to integrate the tool into their existing infrastructure by supporting e.g. single-sign-on mechanisms, docker-based deployment, a remote API, etc.
Label Sleuth	https://www.label-sleuth.org/_static/images/homepage/logo_white_invert.svg	An open-source no-code system for text annotation and building text classifiers	https://www.label-sleuth.org/	[Paper] https://arxiv.org/abs/2208.01483	No	Apache-2.0	https://github.com/label-sleuth/label-sleuth	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	Yes	Raw text, CONLL-U, XML, TSV		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English		Spans (e.g. names entities)	Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Image (e.g. a graph or coloured text)	No	Yes	Yes, the tool supports multiple annotators working together on the same shared annotation of the data.	Yes	Yes	Yes	No	Yes	Yes	Metadata	No			No		Machine-learned automatic tagging suggestions
Label Studio	https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn%3AANd9GcRwv-OYeU-1T_7Yh_DPJd2QIx9jTJkrafAwiik7kpU4t3poAI0yEAUPceAbfbukMrvbM8W4-XhObr1VMmOc_8puMjiC60CN6w	Data labeling tool for all data types (computer vision, natural language processing, speech, voice, and video models)	https://labelstud.io/		No	Apache-2.0		Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	Yes	Raw text, PDF, CONLL-U, XML, TSV	Audio, Video, Image, PDF	The data can be exported., The data can be stored with a third party storage platform (e.g. Git repository)	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop), Touchscreen	Yes	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U)		Yes	Yes, the tool supports multiple annotators working independently on their own annotations of the same data., Yes, the tool supports multiple annotators working together on the same shared annotation of the data.	Yes	Yes	No	No	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Metadata	No	Text classification, NER	Discontinuous expressions,Nested expressions,Overlapping expressions	No		
Palmyra	https://camel-lab.github.io/palmyra/fonts/logo.png	PALMYRA is a platform-independent graphical tool for syntactic dependency annotation supporting languages that require complex morphological tokenization.	https://palmyra.camel-lab.com/	https://camel-lab.github.io/palmyra/about.html	Yes	MIT	https://github.com/CAMeL-Lab/palmyra	Yes	Web-based application	Windows, Mac OS, Linux	The software is freely available online (with sign up option and/or social logins)	Yes	CONLL-U		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,	Tokens (e.g. part-of-speech tag, morphological features), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Image (e.g. a graph or coloured text), Raw format (e.g. CONLL-U)	Yes	No	No, the tool does not support multiple annotators working on the same data.	No	No	No	No	No	No	UPOS,FEATS,XPOS,Basic dependencies,Empty nodes,Metadata	No			No	http://treebank.camel-lab.com/ ; http://www.lrec-conf.org/proceedings/lrec2022/pdf/2022.lrec-1.286.pdf	We recently added an Undo/Redo functionality and also the ability to synchonize files on google Drive https://aclanthology.org/2024.lrec-main.1101.pdf
PLURAL-conllu-annotator	https://plural.iiit.ac.in/conllu-assets/static/media/IIITH.3e6a0240528e48ab6511.png	Annotate linguistic rich data	https://plural.iiit.ac.in/conllu-annotator		Yes	CC_BY	https://github.com/parameshkrishnaa/PLURAL-conllu-annotator	Yes	Web-based application	Windows, Mac OS, Linux	The software is freely available online (without sign up option )	Yes	CONLL-U		The data can be exported.	Language-independence,Writing script support,LTR,unicode support	English	word-level,	Tokens (e.g. part-of-speech tag, morphological features), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Keyboard	Yes	Image (e.g. a graph or coloured text), Raw format (e.g. CONLL-U)	No	Yes	No, the tool does not support multiple annotators working on the same data.	No	No	No	No	No	No	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies,Empty nodes,Metadata	Yes	NIL		No	Tamil UD, Telugu UD	
Q-CAT	https://www.clarin.si/info/wp-content/uploads/2014/08/Clarin-SI-logo.png	A tool for manual linguistic annotation of corpora, which also enables advanced queries on top of these annotations.	http://hdl.handle.net/11356/1844		Yes	Apache-2.0		Yes	Desktop-based application	Windows	The software should be run by the user (local machine or own server)	Yes	CONLL-U, XML		The data can be exported.	Language-independence,Writing script support,LTR,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text)	No	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	No	No	No	No	Yes	No	Lemmas,UPOS,Multi-word tokens,Basic dependencies	No			No		
TALEN		NER annotation	https://github.com/CogComp/talen	For example, the UNER project uses https://annotate.universalner.org/	No	other	https://github.com/CogComp/talen	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	Raw text, CONLL-U		The data can be exported.	Language-independence,Writing script support,LTR, RTL,	English		Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions)	Annotation inside sentences	No	Mouse (e.g. drag & drop), Touchscreen	No	Image (e.g. a graph or coloured text)	Yes	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	No	Yes	No	No	No	Yes	UPOS,XPOS,Multi-word tokens,Metadata	No	NER		partial		
ToolBox	https://software.sil.org/wp/wp-content/themes/web-productsites/images/sil_logo_glyph.png	A linguistic data management tool designed for building lexicons, analyzing interlinear texts, and organizing fieldwork data, developed by SIL International.	https://software.sil.org/toolbox/	http://www.fieldlinguiststoolbox.org/?i=1	No	other		No	Desktop-based application	Windows	The software should be run by the user (local machine or own server)	Yes	Raw text		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Interlinear glossed text annotations	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard	Yes	Table	No	No	No, the tool does not support multiple annotators working on the same data.	No	No	No	No	Yes	Yes	Metadata	No			No		
TrEd	https://encrypted-tbn2.gstatic.com/favicon-tbn?q=tbn%3AANd9GcQxDLYZYy8Polda_-isFhmeJaIme9AAQq3KcaCjKx0ejBrhhAhXJrJyxPuzzOrl8kDm5TX6TmVMRocQHO1C5SHUAvydi-wjO2fsoFE	A fully customizable and programmable graphical editor and viewer for tree-like structures.	https://ufal.mff.cuni.cz/tred	https://ufal.mff.cuni.cz/tred/documentation/ar01-toc.html	Yes	GPL-2.0	https://github.com/ufal/TrEd	Yes	Desktop-based application	Windows, Linux	The software should be run by the user (local machine or own server)	Yes	Raw text, CONLL-U, XML	External databases (e.g. dictionaries)	The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Graphical representation of a tree	No	No	No, the tool does not support multiple annotators working on the same data.	No	partial	Yes	No	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies,Empty nodes,	No			No	Prague Dependency Treebank (PDT)	Custom stylesheets
UD Annotatrix		UD Annotatrix is a client-side, browser-only, language-independent tool for editing dependency trees according to the guidelines established by the Universal Dependencies project.	https://maryszmary.github.io/ud-annotatrix/standalone/annotator.html	[Paper] https://aclanthology.org/W17-7604	No	GPL-3.0	https://github.com/jonorthwash/ud-annotatrix	Yes	Web-based application	Windows, Mac OS, Linux	The software is freely available online (with sign up option and/or social logins)	Yes	Raw text, CONLL-U, VISL CG3, SDParse, Bracket notation		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U)	No	No	Yes	No	No	No	No	No	No	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies,Empty nodes,	No			No		
WebAnno	https://webanno.github.io/webanno/assets/img/logo.png	A web-based collaborative tool for linguistic annotation that supports various annotation tasks, including POS tagging, dependency parsing, and coreference resolution. It provides collaborative features and works well with formats like CoNLL-U.	https://webanno.github.io/webanno/		No	Apache 2.0	https://github.com/webanno/webanno	Yes	Web-based application	Windows, Mac OS, Linux	The software is available upon request (the user should ask to get an account)	No	Raw text, CONLL-U, XML, TSV	External databases (e.g. dictionaries)	The data can be exported., The data can be stored with a third party storage platform (e.g. Git repository)	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U)	Yes	Yes	Yes, the tool supports multiple annotators working independently on their own annotations of the same data., Yes, the tool supports multiple annotators working together on the same shared annotation of the data.	Yes	Yes	Yes	Yes	Yes	No	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies,Empty nodes,Metadata	Yes	NER, coreference, MWE	Discontinuous expressions,Nested expressions,Overlapping expressions	Yes		WebAnno supports a rich set of features including customizable annotation layers, integration with external data sources, support for multiple annotators, and visualization of annotated data. It also supports automatic pre-annotation and inter-annotator agreement calculation
